player_name,brawler_name,game_mode,game_map,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31
pigeon voyageur,BARLEY,soloShowdown,Cavern Churn,,,,,,,,,,defeat,victory,,,,,,,,,,,
pigeon voyageur,BARLEY,soloShowdown,The Galaxy,,,,,,,,,,victory,,,,,,,,,,,,
pigeon voyageur,BEA,duoShowdown,Stormy Plains,,,,,,,,,,,,,,,,,victory,,,,,
pigeon voyageur,BEA,knockout,Belle's Rock,,,,,,,,,,defeat,,,,,,,,defeat,,,,
pigeon voyageur,BEA,knockout,Out in the Open,,,,,,,,,,,,,,,,,defeat,,,,,
pigeon voyageur,BEA,knockout,Waters of Doom,,,,,,,,,,defeat,,,,,,,victory,,,,,
pigeon voyageur,BEA,soloShowdown,The Galaxy,defeat,victory,,,,,,,,,,,,,,,,,,,,
pigeon voyageur,BO,soloShowdown,Double Trouble,,,,,,,,,,,,victory,,,,,,,,,,
pigeon voyageur,BO,soloShowdown,Skull Creek,,,,,,,defeat,defeat,,,,,,,,,,,,,,
pigeon voyageur,BO,soloShowdown,The Galaxy,,,,,,,,,,,,,,,,,,defeat,,,,
pigeon voyageur,BULL,soloShowdown,Cavern Churn,,,victory,,,,,,,,,,,,,,,,,,,
pigeon voyageur,BUZZ,duoShowdown,Cavern Churn,,,victory,,,,,,,,,,,,,,,,,,,
pigeon voyageur,BUZZ,duoShowdown,Dune Drift,,,,,,,,,,,,,,,,,,,,,victory,
pigeon voyageur,BUZZ,duoShowdown,Stormy Plains,,,,,,,,,,,,,,,,,victory,,,,,
pigeon voyageur,BUZZ,duoShowdown,The Galaxy,draw,,,,,,,,,,,,,,,,,,,,,
pigeon voyageur,BUZZ,knockout,Belle's Rock,,defeat,,,,,,,,,,,,,,,,defeat,,,,
pigeon voyageur,BUZZ,soloShowdown,Cavern Churn,,defeat,defeat,,,,,,,,,,,,,,,,victory,,,
pigeon voyageur,BUZZ,soloShowdown,Double Trouble,,,,,,,,,,,defeat,victory,,,,,,,,,,
pigeon voyageur,BUZZ,soloShowdown,Dune Drift,,,,,,,,,,,,victory,defeat,,,,,,,victory,victory,
pigeon voyageur,BUZZ,soloShowdown,Forsaken Falls,,,,,,,,,,,,,defeat,,,,,,,,,
pigeon voyageur,BUZZ,soloShowdown,The Galaxy,,draw,,,,,,,,,,,,,,,,defeat,,,,
pigeon voyageur,CARL,duoShowdown,Dune Drift,,,,,victory,,,,,,,,,,,,,,,,,
pigeon voyageur,CARL,duoShowdown,Forsaken Falls,,,,,victory,,,,,,,,,,,,,,,,,
pigeon voyageur,CARL,soloShowdown,Safety Center,,,,,,,defeat,,,,,,,,,,,,,,,
pigeon voyageur,COLETTE,brawlBall,Freezing ripples,,,victory,,,,,,,,,,,,,,,,,,,
pigeon voyageur,COLETTE,duoShowdown,The Galaxy,victory,,,,,,,,,,,,,,,,,,,,,
pigeon voyageur,COLT,bounty,The Great Open,,,,,victory,,,,,,,,,,,,,,,,,
pigeon voyageur,COLT,brawlBall,Great waves,,,,,,,,,,,,,,,defeat,,,,,,,
pigeon voyageur,COLT,duoShowdown,Double Trouble,,,,,,,,,,,,,,,victory,,,,,,,
