player_tag,player_name,brawler_name,2024-01-10,2024-01-11,2024-01-12,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31
2RQ9R90G9,pigeon voyageur,8-BIT,55,55,55,146,146,146,146,146,146,263,307,307,307,307,307,307,307,307,307,307,307
2RQ9R90G9,pigeon voyageur,BARLEY,236,236,236,236,236,236,236,236,240,261,261,261,261,261,261,261,261,261,261,261,261
2RQ9R90G9,pigeon voyageur,BEA,99,140,140,138,138,138,138,138,166,204,204,204,204,204,204,206,212,209,209,209,209
2RQ9R90G9,pigeon voyageur,BO,161,161,161,212,212,212,221,221,221,233,265,265,265,265,265,265,265,273,273,273,273
2RQ9R90G9,pigeon voyageur,BROCK,237,237,237,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
2RQ9R90G9,pigeon voyageur,BULL,334,334,342,338,338,338,338,338,338,338,376,376,376,376,376,376,376,376,376,376,376
2RQ9R90G9,pigeon voyageur,BUZZ,392,430,452,460,460,460,460,460,460,510,556,556,556,556,556,556,556,584,589,591,591
2RQ9R90G9,pigeon voyageur,CARL,127,127,127,156,155,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
2RQ9R90G9,pigeon voyageur,COLETTE,147,147,156,154,154,154,154,154,154,154,194,194,194,194,194,194,194,194,194,194,194
2RQ9R90G9,pigeon voyageur,COLT,496,496,496,496,496,496,496,496,496,505,546,531,532,526,529,524,524,518,518,518,518
2RQ9R90G9,pigeon voyageur,DARRYL,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
2RQ9R90G9,pigeon voyageur,DYNAMIKE,145,145,145,182,182,182,182,182,182,182,205,205,205,205,205,205,205,205,205,205,205
2RQ9R90G9,pigeon voyageur,EDGAR,259,259,283,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
2RQ9R90G9,pigeon voyageur,EL PRIMO,410,410,410,426,426,426,426,426,426,428,428,428,428,428,428,428,428,428,428,428,428
2RQ9R90G9,pigeon voyageur,EMZ,0,99,99,144,144,144,144,144,144,199,199,199,199,199,199,199,199,199,199,199,199
2RQ9R90G9,pigeon voyageur,GENE,250,250,250,250,250,250,255,307,307,307,307,307,307,307,307,307,307,307,307,307,307
2RQ9R90G9,pigeon voyageur,GRIFF,0,0,0,207,207,207,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
2RQ9R90G9,pigeon voyageur,GROM,137,137,137,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
2RQ9R90G9,pigeon voyageur,GUS,11,11,11,143,143,143,143,143,143,187,187,187,187,187,187,187,187,187,187,187,187
2RQ9R90G9,pigeon voyageur,JACKY,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
2RQ9R90G9,pigeon voyageur,JESSIE,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186
2RQ9R90G9,pigeon voyageur,LOU,299,299,299,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
2RQ9R90G9,pigeon voyageur,MAX,0,0,0,0,0,67,67,67,198,198,308,302,302,302,302,315,341,341,341,356,356
2RQ9R90G9,pigeon voyageur,NANI,440,440,440,463,463,463,463,463,453,505,505,500,500,500,500,500,500,500,500,500,500
2RQ9R90G9,pigeon voyageur,NITA,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
2RQ9R90G9,pigeon voyageur,PAM,254,254,254,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
2RQ9R90G9,pigeon voyageur,PEARL,0,0,0,0,0,34,261,310,311,311,311,311,311,311,311,311,311,311,311,311,311
2RQ9R90G9,pigeon voyageur,PENNY,172,172,172,172,172,172,172,172,172,202,202,202,202,202,202,202,202,202,202,202,202
2RQ9R90G9,pigeon voyageur,POCO,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
2RQ9R90G9,pigeon voyageur,RICO,144,144,144,144,144,163,173,173,173,188,188,188,188,188,188,188,188,188,188,188,188
2RQ9R90G9,pigeon voyageur,ROSA,382,382,382,382,382,382,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
2RQ9R90G9,pigeon voyageur,SHELLY,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
2RQ9R90G9,pigeon voyageur,STU,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99
2RQ9R90G9,pigeon voyageur,SURGE,142,142,142,183,183,183,183,271,308,308,308,308,308,308,308,308,308,308,308,308,308
2RQ9R90G9,pigeon voyageur,TARA,304,304,304,304,304,304,304,304,304,304,329,329,329,329,329,329,329,325,325,325,325
2RQ9R90G9,pigeon voyageur,TICK,99,99,99,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
2ULL2VUUQ,Val,8-BIT,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
2ULL2VUUQ,Val,AMBER,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309
2ULL2VUUQ,Val,ASH,513,513,513,513,513,513,513,513,513,513,513,513,513,513,500,500,500,500,500,500,500
2ULL2VUUQ,Val,BARLEY,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
2ULL2VUUQ,Val,BEA,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406
2ULL2VUUQ,Val,BELLE,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
2ULL2VUUQ,Val,BIBI,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507
2ULL2VUUQ,Val,BO,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499
2ULL2VUUQ,Val,BONNIE,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
2ULL2VUUQ,Val,BROCK,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
2ULL2VUUQ,Val,BULL,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
2ULL2VUUQ,Val,BUSTER,256,256,256,256,256,256,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
2ULL2VUUQ,Val,BUZZ,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
2ULL2VUUQ,Val,BYRON,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411
2ULL2VUUQ,Val,CARL,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499
2ULL2VUUQ,Val,CHARLIE,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
2ULL2VUUQ,Val,COLETTE,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
2ULL2VUUQ,Val,COLT,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
2ULL2VUUQ,Val,CORDELIUS,202,202,202,202,202,202,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296
2ULL2VUUQ,Val,CROW,559,559,559,559,559,559,547,547,547,547,547,547,547,547,524,524,524,524,524,524,524
2ULL2VUUQ,Val,DARRYL,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
2ULL2VUUQ,Val,DOUG,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,36,36,36
2ULL2VUUQ,Val,DYNAMIKE,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
2ULL2VUUQ,Val,EDGAR,524,524,524,524,524,524,524,524,524,524,524,524,524,524,500,500,500,500,500,500,500
2ULL2VUUQ,Val,EL PRIMO,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504
2ULL2VUUQ,Val,EMZ,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502
2ULL2VUUQ,Val,FANG,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445
2ULL2VUUQ,Val,FRANK,522,522,522,522,522,522,570,570,570,570,570,570,570,570,549,549,549,549,549,549,549
2ULL2VUUQ,Val,GALE,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496
2ULL2VUUQ,Val,GENE,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
2ULL2VUUQ,Val,GRAY,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
2ULL2VUUQ,Val,GRIFF,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479
2ULL2VUUQ,Val,GROM,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
2ULL2VUUQ,Val,GUS,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
2ULL2VUUQ,Val,HANK,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
2ULL2VUUQ,Val,JACKY,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
2ULL2VUUQ,Val,JANET,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
2ULL2VUUQ,Val,JESSIE,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507
2ULL2VUUQ,Val,LEON,668,668,668,668,668,668,676,676,676,676,676,676,676,676,674,674,674,682,670,670,670
2ULL2VUUQ,Val,LOLA,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
2ULL2VUUQ,Val,LOU,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
2ULL2VUUQ,Val,MANDY,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
2ULL2VUUQ,Val,MAX,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463
2ULL2VUUQ,Val,MEG,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
2ULL2VUUQ,Val,MICO,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
2ULL2VUUQ,Val,MORTIS,508,508,508,508,508,508,508,508,508,508,508,508,508,508,500,500,500,500,500,500,500
2ULL2VUUQ,Val,MR. P,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443
2ULL2VUUQ,Val,NANI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
2ULL2VUUQ,Val,NITA,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
2ULL2VUUQ,Val,OTIS,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294
2ULL2VUUQ,Val,PAM,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
2ULL2VUUQ,Val,PENNY,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489
2ULL2VUUQ,Val,PIPER,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
2ULL2VUUQ,Val,POCO,572,572,572,572,572,572,572,572,572,572,572,572,572,572,549,549,549,549,549,549,549
2ULL2VUUQ,Val,R-T,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
2ULL2VUUQ,Val,RICO,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502
2ULL2VUUQ,Val,ROSA,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
2ULL2VUUQ,Val,RUFFS,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
2ULL2VUUQ,Val,SANDY,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
2ULL2VUUQ,Val,SHELLY,601,601,601,601,601,601,601,601,601,601,601,601,601,601,599,599,599,599,599,599,599
2ULL2VUUQ,Val,SPIKE,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
2ULL2VUUQ,Val,SPROUT,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504
2ULL2VUUQ,Val,SQUEAK,518,518,518,518,518,518,518,518,518,518,518,518,518,518,500,500,500,500,500,500,500
2ULL2VUUQ,Val,STU,524,524,524,524,524,524,524,524,524,524,524,524,524,524,500,500,500,500,500,500,500
2ULL2VUUQ,Val,SURGE,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
2ULL2VUUQ,Val,TARA,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
2ULL2VUUQ,Val,TICK,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
2ULL2VUUQ,Val,WILLOW,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
8P29PQQR2,Deletto_blue,8-BIT,0,0,145,145,145,145,145,145,145,189,189,189,189,189,189,189,189,189,189,189,218
8P29PQQR2,Deletto_blue,BARLEY,131,144,144,144,144,144,144,144,144,144,144,144,155,155,155,155,155,155,155,164,173
8P29PQQR2,Deletto_blue,BEA,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60
8P29PQQR2,Deletto_blue,BO,0,146,169,205,308,308,308,308,308,308,304,304,342,342,342,342,342,342,342,342,342
8P29PQQR2,Deletto_blue,BONNIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8P29PQQR2,Deletto_blue,BROCK,102,102,143,164,164,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
8P29PQQR2,Deletto_blue,BULL,113,139,306,306,306,306,306,306,306,306,306,306,306,306,306,324,324,324,324,324,324
8P29PQQR2,Deletto_blue,BUZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,129,171,171,171,171,171,171,171
8P29PQQR2,Deletto_blue,CARL,47,47,141,192,192,192,192,192,192,192,192,192,192,192,192,201,201,201,201,201,201
8P29PQQR2,Deletto_blue,COLT,580,574,574,574,574,618,604,604,604,608,601,599,599,599,599,599,599,599,599,599,599
8P29PQQR2,Deletto_blue,DARRYL,195,195,240,240,282,309,309,309,309,326,326,326,326,326,326,326,326,326,326,326,326
8P29PQQR2,Deletto_blue,DYNAMIKE,0,147,147,189,189,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
8P29PQQR2,Deletto_blue,EL PRIMO,106,106,145,145,145,145,145,145,145,145,191,191,191,191,191,191,191,191,191,191,191
8P29PQQR2,Deletto_blue,EMZ,0,0,0,0,0,0,116,170,220,220,217,217,217,217,217,217,217,217,217,230,230
8P29PQQR2,Deletto_blue,FRANK,82,141,293,293,301,325,325,325,325,329,329,329,331,331,331,331,331,331,331,331,331
8P29PQQR2,Deletto_blue,GUS,0,0,0,0,0,0,0,0,9,39,39,39,39,39,39,39,39,39,39,173,173
8P29PQQR2,Deletto_blue,JACKY,0,143,143,143,143,143,143,143,143,143,143,143,160,189,189,189,189,189,189,189,189
8P29PQQR2,Deletto_blue,JESSIE,99,146,146,146,146,146,146,146,186,186,186,186,186,186,186,186,186,186,186,186,186
8P29PQQR2,Deletto_blue,MORTIS,25,180,180,180,180,178,178,178,178,178,178,178,230,230,230,230,230,230,230,230,230
8P29PQQR2,Deletto_blue,NITA,40,144,144,144,144,144,144,144,144,168,168,168,168,168,168,168,168,168,168,168,200
8P29PQQR2,Deletto_blue,PENNY,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,165
8P29PQQR2,Deletto_blue,PIPER,0,0,0,0,0,0,0,0,0,51,78,78,78,78,97,133,133,133,133,180,242
8P29PQQR2,Deletto_blue,POCO,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
8P29PQQR2,Deletto_blue,RICO,59,59,143,143,143,143,143,143,143,187,187,187,187,187,187,187,187,187,187,187,187
8P29PQQR2,Deletto_blue,ROSA,16,145,145,145,145,145,145,145,145,158,158,158,158,158,158,158,158,158,158,158,158
8P29PQQR2,Deletto_blue,SHELLY,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
8P29PQQR2,Deletto_blue,TARA,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59
8P29PQQR2,Deletto_blue,TICK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000JU9V,pioupiou,8-BIT,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
9000JU9V,pioupiou,AMBER,618,618,618,618,618,618,618,618,618,618,618,618,618,599,599,599,599,599,599,599,599
9000JU9V,pioupiou,ASH,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
9000JU9V,pioupiou,BARLEY,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486
9000JU9V,pioupiou,BEA,628,628,628,628,628,628,628,628,628,628,628,628,628,624,624,624,618,618,618,618,618
9000JU9V,pioupiou,BELLE,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561
9000JU9V,pioupiou,BIBI,560,560,560,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
9000JU9V,pioupiou,BO,575,575,575,577,577,577,577,577,577,577,577,577,577,574,574,574,574,574,574,574,574
9000JU9V,pioupiou,BONNIE,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288
9000JU9V,pioupiou,BROCK,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
9000JU9V,pioupiou,BULL,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
9000JU9V,pioupiou,BUSTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000JU9V,pioupiou,BUZZ,587,587,587,587,587,587,587,587,587,587,587,587,587,574,574,574,574,574,574,574,574
9000JU9V,pioupiou,BYRON,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507
