player_name,battle_time,event_mode,event_map,result,brawler_name,brawler_trophies,battle_date
pigeon voyageur,20240119T211514.000Z,soloShowdown,Cavern Churn,draw,BARLEY,240,2024-01-19
pigeon voyageur,20240119T211602.000Z,soloShowdown,Cavern Churn,defeat,BARLEY,243,2024-01-19
pigeon voyageur,20240119T230706.000Z,soloShowdown,Cavern Churn,victory,BARLEY,243,2024-01-19
pigeon voyageur,20240119T235001.000Z,soloShowdown,Cavern Churn,victory,BARLEY,251,2024-01-19
pigeon voyageur,20240119T235143.000Z,soloShowdown,Cavern Churn,defeat,BARLEY,257,2024-01-19
pigeon voyageur,20240119T235251.000Z,soloShowdown,Cavern Churn,defeat,BARLEY,251,2024-01-19
pigeon voyageur,20240119T235312.000Z,soloShowdown,Cavern Churn,defeat,BARLEY,254,2024-01-19
pigeon voyageur,20240119T235324.000Z,soloShowdown,Cavern Churn,defeat,BARLEY,248,2024-01-19
pigeon voyageur,20240120T071436.000Z,soloShowdown,Cavern Churn,defeat,BARLEY,246,2024-01-20
pigeon voyageur,20240120T071604.000Z,soloShowdown,Cavern Churn,victory,BARLEY,246,2024-01-20
pigeon voyageur,20240120T071847.000Z,soloShowdown,Cavern Churn,victory,BARLEY,252,2024-01-20
pigeon voyageur,20240119T082517.000Z,soloShowdown,The Galaxy,defeat,BARLEY,236,2024-01-19
pigeon voyageur,20240119T082531.000Z,soloShowdown,The Galaxy,defeat,BARLEY,233,2024-01-19
pigeon voyageur,20240119T083554.000Z,soloShowdown,The Galaxy,victory,BARLEY,230,2024-01-19
pigeon voyageur,20240126T083132.000Z,duoShowdown,Stormy Plains,victory,BEA,-1,2024-01-26
pigeon voyageur,20240119T203724.000Z,knockout,Belle's Rock,victory,BEA,199,2024-01-19
pigeon voyageur,20240119T203923.000Z,knockout,Belle's Rock,defeat,BEA,207,2024-01-19
pigeon voyageur,20240127T162428.000Z,knockout,Belle's Rock,defeat,BEA,212,2024-01-27
pigeon voyageur,20240126T082018.000Z,knockout,Out in the Open,defeat,BEA,204,2024-01-26
pigeon voyageur,20240126T082412.000Z,knockout,Out in the Open,victory,BEA,201,2024-01-26
pigeon voyageur,20240126T082744.000Z,knockout,Out in the Open,defeat,BEA,209,2024-01-26
pigeon voyageur,20240119T072644.000Z,knockout,Waters of Doom,victory,BEA,138,2024-01-19
pigeon voyageur,20240119T072914.000Z,knockout,Waters of Doom,victory,BEA,146,2024-01-19
pigeon voyageur,20240119T073043.000Z,knockout,Waters of Doom,defeat,BEA,155,2024-01-19
pigeon voyageur,20240119T073219.000Z,knockout,Waters of Doom,victory,BEA,153,2024-01-19
pigeon voyageur,20240119T073512.000Z,knockout,Waters of Doom,victory,BEA,161,2024-01-19
