tag,name,2024-01-10,2024-01-11,2024-01-12,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31
#2RQ9R90G9,pigeon voyageur,7212,7390,7453,8314,8313,8492,8735,8924,9115,9560,10058,10032,10033,10027,10030,10040,10072,10095,10100,10117,10117
#2ULL2VUUQ,Val,27546,27546,27546,27546,27546,27546,27695,27695,27695,27695,27695,27695,27695,27695,27537,27537,27537,27545,27556,27556,27556
#8P29PQQR2,Deletto_blue,2200,3163,3953,4103,4256,4417,4519,4573,4731,5021,5080,5078,5258,5416,5477,5540,5540,5540,5540,5743,5981
#9000JU9V,pioupiou,30101,30091,30091,30098,30098,30098,30123,30194,30194,30194,30279,30279,30279,30289,30289,30289,30276,30403,30403,30403,30403
#L8V9LRVV,Enzo 2b20,30813,31240,31253,32264,32403,32771,33041,33114,33114,33454,33781,33762,33762,33793,33798,33980,34165,34541,34536,34674,34742
#PLUJGG8R2,LE PGM,28599,28850,29068,29820,30013,30044,30162,30247,30310,30372,30699,30705,30806,30925,30940,31050,31062,31552,31755,31832,31935
#Q8U0GJVG2,darkprince,13179,13656,13941,15142,15234,15307,15702,15904,16201,16217,16487,16837,17220,17473,17743,17821,17875,18120,18390,18916,19022
#RY0JYYJP9,Ludobz,428,1323,1505,1716,1716,1941,2349,2364,2408,2440,2688,2705,2705,3174,3738,3788,3874,5017,5872,6581,6858
#YGVJ0VV,AngelFire,24628,25000,25345,25464,25568,25735,25865,26033,26148,26148,26204,26138,26258,26303,26339,26352,26352,26475,26545,26804,26841
#YJ9G2RPUL,leo,33911,33960,33940,34049,34089,34127,34325,34398,34394,34480,34480,34355,34355,34355,34355,34357,34410,34422,34422,34422,34422
